scenario,variant,run,tx_packets,rx_packets,lost_packets,pdr_percent,min_flow_pdr_percent,mean_delay_ms,delay_p50_ms,delay_p95_ms,goodput_kbps,olsr_control_packets,olsr_control_bytes,normalized_overhead,recovery_seconds,next_hop_changes,route_unavailable_samples,signal_transitions,failure_transitions,recoveries,disrupted_node
C,failure20,118,8969,8715,254,97.168023,94.326558,2.213410,2.000000,3.000000,396.629333,861,79840,0.017893,5.000000,5,0,0,1,0,6
C,failure80,118,8969,8691,278,96.900435,93.790485,2.343297,2.000000,2.000000,395.537067,782,74436,0.016728,6.000000,3,0,0,0,0,6
B,signal78,118,8923,8854,69,99.226717,98.448043,2.631148,2.000000,3.000000,402.955378,2864,302212,0.066666,2.000000,14,4,16,0,0,5
B,signal84,118,8969,8711,258,97.123425,94.237212,2.010505,2.000000,2.000000,396.447289,881,82460,0.018489,0.000000,3,0,0,1,0,6
C,detection_only,119,8971,8660,311,96.533274,93.938043,2.640356,2.000000,3.000000,394.126222,842,76584,0.017272,6.000000,4,0,0,1,0,6
C,hello_only,119,8971,8707,264,97.057184,95.007800,2.309538,2.000000,3.000000,396.265244,913,81568,0.018297,5.000000,4,0,0,1,0,6
C,tc_only,119,8971,8660,311,96.533274,93.938043,2.640356,2.000000,3.000000,394.126222,842,76584,0.017272,6.000000,4,0,0,1,0,6
C,failure20,119,8971,8707,264,97.057184,95.007800,2.309538,2.000000,3.000000,396.265244,913,81568,0.018297,5.000000,4,0,0,1,0,6
C,failure80,119,8971,8660,311,96.533274,93.938043,2.640356,2.000000,3.000000,394.126222,842,76584,0.017272,6.000000,4,0,0,0,0,6
B,signal78,119,8925,8844,81,99.092437,98.243639,2.805802,2.000000,3.000000,402.500267,2915,297112,0.065615,0.000000,8,4,15,0,0,6
B,signal84,119,8971,8712,259,97.112919,94.250056,2.344312,2.000000,2.000000,396.492800,931,84460,0.018935,0.000000,3,0,0,1,0,6
C,detection_only,120,8978,8715,263,97.070617,94.129464,2.213518,2.000000,2.000000,396.629333,814,75796,0.016987,6.000000,1,0,0,1,0,9
C,hello_only,120,8978,8741,237,97.360214,94.709821,2.058252,2.000000,2.000000,397.812622,886,80848,0.018065,5.000000,1,0,0,1,0,9
C,tc_only,120,8978,8715,263,97.070617,94.129464,2.213518,2.000000,2.000000,396.629333,814,75796,0.016987,6.000000,1,0,0,1,0,9
C,failure20,120,8978,8741,237,97.360214,94.709821,2.058252,2.000000,2.000000,397.812622,886,80848,0.018065,5.000000,1,0,0,1,0,9
C,failure80,120,8978,8715,263,97.070617,94.129464,2.213518,2.000000,2.000000,396.629333,814,75796,0.016987,6.000000,1,0,0,0,0,9
B,signal78,120,8978,8876,102,98.863890,97.879464,6.296853,2.000000,7.000000,403.956622,2996,304060,0.066907,0.000000,18,0,16,0,0,6
B,signal84,120,8978,8714,264,97.059479,94.107143,2.070011,2.000000,2.000000,396.583822,908,83848,0.018793,0.000000,1,0,0,1,0,9
C,failure_disabled,102,8981,8578,403,95.512749,94.372776,10.527038,9.000000,20.000000,390.394311,835,76524,0.017424,7.000000,3,0,0,0,0,6
