scenario,run,metric,adaptive_minus_baseline
C,106,delay_p50_ms,0.0
C,106,delay_p95_ms,0.0
C,106,goodput_kbps,1.5473779999999806
C,106,normalized_overhead,0.001056999999999999
C,106,recovery_seconds,-1.0
C,106,next_hop_changes,0.0
C,106,route_unavailable_samples,0.0
C,106,signal_transitions,0.0
C,106,failure_transitions,1.0
C,106,recoveries,0.0
C,107,pdr_percent,0.17815400000000636
C,107,min_flow_pdr_percent,0.5782920000000047
C,107,delay_p50_ms,0.0
C,107,delay_p95_ms,0.0
C,107,goodput_kbps,0.728178000000014
C,107,normalized_overhead,0.001060000000000002
C,107,recovery_seconds,-1.0
C,107,next_hop_changes,-2.0
C,107,route_unavailable_samples,0.0
C,107,signal_transitions,0.0
C,107,failure_transitions,1.0
C,107,recoveries,0.0
C,108,pdr_percent,-0.011142000000006647
C,108,min_flow_pdr_percent,0.0
C,108,delay_p50_ms,0.0
C,108,delay_p95_ms,0.0
C,108,goodput_kbps,-0.04551099999997632
C,108,normalized_overhead,0.0011319999999999976
C,108,recovery_seconds,0.0
C,108,next_hop_changes,0.0
C,108,route_unavailable_samples,0.0
C,108,signal_transitions,0.0
C,108,failure_transitions,1.0
C,108,recoveries,0.0
C,109,pdr_percent,-0.011135999999993373
C,109,min_flow_pdr_percent,-0.02229099999999562
C,109,delay_p50_ms,0.0
C,109,delay_p95_ms,0.0
C,109,goodput_kbps,-0.04551200000003064
C,109,normalized_overhead,0.0011189999999999985
C,109,recovery_seconds,0.0
C,109,next_hop_changes,0.0
C,109,route_unavailable_samples,0.0
C,109,signal_transitions,0.0
C,109,failure_transitions,1.0
C,109,recoveries,0.0
C,110,pdr_percent,0.0
C,110,min_flow_pdr_percent,0.0
C,110,delay_p50_ms,0.0
C,110,delay_p95_ms,0.0
C,110,goodput_kbps,0.0
C,110,normalized_overhead,0.001065
C,110,recovery_seconds,0.0
C,110,next_hop_changes,0.0
C,110,route_unavailable_samples,0.0
C,110,signal_transitions,0.0
C,110,failure_transitions,1.0
C,110,recoveries,0.0
C,111,pdr_percent,0.0
C,111,min_flow_pdr_percent,0.0
C,111,delay_p50_ms,0.0
C,111,delay_p95_ms,0.0
C,111,goodput_kbps,0.0
C,111,normalized_overhead,0.001059000000000001
C,111,recovery_seconds,0.0
C,111,next_hop_changes,2.0
C,111,route_unavailable_samples,0.0
C,111,signal_transitions,0.0
C,111,failure_transitions,1.0
C,111,recoveries,0.0
C,112,pdr_percent,0.0
C,112,min_flow_pdr_percent,0.0
C,112,delay_p50_ms,0.0
C,112,delay_p95_ms,0.0
C,112,goodput_kbps,0.0
C,112,normalized_overhead,0.001114999999999998
C,112,recovery_seconds,0.0
C,112,next_hop_changes,0.0
C,112,route_unavailable_samples,0.0
C,112,signal_transitions,0.0
C,112,failure_transitions,1.0
C,112,recoveries,0.0
C,113,pdr_percent,0.0
C,113,min_flow_pdr_percent,0.0
C,113,delay_p50_ms,0.0
C,113,delay_p95_ms,0.0
C,113,goodput_kbps,0.0
C,113,normalized_overhead,0.001132000000000001
C,113,recovery_seconds,0.0
C,113,next_hop_changes,0.0
C,113,route_unavailable_samples,0.0
C,113,signal_transitions,0.0
C,113,failure_transitions,1.0
C,113,recoveries,0.0
C,114,pdr_percent,-0.022262000000011994
C,114,min_flow_pdr_percent,-0.022256999999996196
C,114,delay_p50_ms,0.0
C,114,delay_p95_ms,0.0
C,114,goodput_kbps,-0.09102199999995264
C,114,normalized_overhead,0.001113999999999997
C,114,recovery_seconds,0.0
C,114,next_hop_changes,0.0
C,114,route_unavailable_samples,0.0
C,114,signal_transitions,0.0
C,114,failure_transitions,1.0
C,114,recoveries,0.0
C,115,pdr_percent,0.7360330000000062
C,115,min_flow_pdr_percent,1.4722289999999987
C,115,delay_p50_ms,0.0
C,115,delay_p95_ms,0.0
C,115,goodput_kbps,3.003733000000011
C,115,normalized_overhead,0.000952999999999999
C,115,recovery_seconds,0.0
C,115,next_hop_changes,-2.0
C,115,route_unavailable_samples,0.0
C,115,signal_transitions,0.0
C,115,failure_transitions,1.0
C,115,recoveries,0.0
C,116,pdr_percent,-0.4905239999999935
C,116,min_flow_pdr_percent,-1.0042399999999958
C,116,delay_p50_ms,0.0
C,116,delay_p95_ms,0.0
C,116,goodput_kbps,-2.0024889999999687
C,116,normalized_overhead,0.0011989999999999987
C,116,recovery_seconds,1.0
C,116,next_hop_changes,2.0
C,116,route_unavailable_samples,0.0
C,116,signal_transitions,0.0
C,116,failure_transitions,1.0
C,116,recoveries,0.0
C,117,pdr_percent,-0.003261000000009062
C,117,min_flow_pdr_percent,-0.013101000000006024
C,117,delay_p50_ms,0.0
C,117,delay_p95_ms,1.0
C,117,goodput_kbps,-0.4551110000000449
C,117,normalized_overhead,0.0012469999999999981
C,117,recovery_seconds,0.0
C,117,next_hop_changes,2.0
C,117,route_unavailable_samples,0.0
C,117,signal_transitions,0.0
C,117,failure_transitions,1.0
C,117,recoveries,0.0
C,118,pdr_percent,0.2675880000000035
C,118,min_flow_pdr_percent,0.5360730000000018
C,118,delay_p50_ms,0.0
C,118,delay_p95_ms,1.0
C,118,goodput_kbps,1.092265999999995
C,118,normalized_overhead,0.0011649999999999994
C,118,recovery_seconds,-1.0
C,118,next_hop_changes,2.0
C,118,route_unavailable_samples,0.0
C,118,signal_transitions,0.0
C,118,failure_transitions,1.0
C,118,recoveries,0.0
C,119,pdr_percent,0.5239100000000008
C,119,min_flow_pdr_percent,1.0697570000000098
C,119,delay_p50_ms,0.0
C,119,delay_p95_ms,0.0
C,119,goodput_kbps,2.1390220000000113
C,119,normalized_overhead,0.0010250000000000016
C,119,recovery_seconds,-1.0
C,119,next_hop_changes,0.0
C,119,route_unavailable_samples,0.0
C,119,signal_transitions,0.0
C,119,failure_transitions,1.0
